Speaker tag,Transcript
0," N I L I S I."
1," Say it with me. N I L I S I."
0," N I L I S I. So I could say ""Sir, Nillisi."" which would be ""Sir, stop here."""
1," Perfect. Now go. The root is Hogo, but we don't say that. We add the I, so it's Hogi. Pronounced H O H G."
0," H O H G. That's right. And note the aspiration on that G isn't super heavy, but it is distinct. H O H G."
1," H O F G."
0," And come. The root is Ba, but to the driver,"
1," We add the polite suffix."
0," Right."
1," So it's Banni, pronounced B U N I."
0," B U N I. So you see, you aren't barking orders, you are collaborating. Banni, Hogi, Nillisi, it's respectful. Okay, I'm in the auto, but now comes the big one. I need to know if he's actually going to use the meter. I don't want to get ripped off at the end of the ride. I need to ask a question."
1," Right. Which brings us to the magic question suffix."
0," Okay."
1," This is my absolute favorite piece of efficiency in the Kannada language. English is so clumsy with questions. Is the meter there? Will you put the meter on? We're rearranging words, changing the tone. It's a lot of work."
0," So what does Kannada do?"
1," It just stretches the tail. You simply add an A sound to the end of the final word in the statement."
0," That's it. You just elongate the vowel."
1," That's it. It's that simple. Let's look at the statement first. There is a meter. Meter is English. There is is the word Idhe."
0," So meter Idhe?"
1," Meter Idhe. That's statement effect. Now, you want to ask, is there a meter? Or, more to the point, would you use the meter? You take Idhe and you just scratch it. It becomes Idhe."
0," Meter Idhe."
1," Do you hear how your pitch goes up at the end?"
0," Idhe."
1," Idhe or Idhe. Yeah, it feels natural."
0," Perfect. It works for everything."
1," Will you come? Is Barah. Is it correct? It's"
0," Is it correct? Wait, correct. I hear that all the time in the office."
1," It is the most common phrase in corporate Bengaluru. Is this data correct? You are applying the Kannada engine to English words. You've been hearing it all along."
0," Mind-blown. Okay. So I get in, I point at the meter and I ask meter Idhe. He nods. We're moving. But now, oh no, he's about to miss the turn."
1," We need spatial anchors. The source calls this the GPS rhyme."
0," I like that."
1," It's a simple rhyme, which makes it stick in your brain. Here, there, where. Illi, Alli, Elli."
0," Okay, let's drill the pronunciation on those. Here."
1," Illi, pronounced E L L I."
0," E L L I. There."
1," Alli, pronounced U L L I."
0," U L L I. And where?"
1," Elli, pronounced Y L L I."
0," Y L L I. And I'm noting that Y sound at the beginning of Elli. It's not Elli, it's Yelli."
1," Exactly. The Y glide is crucial."
0," So if I want to say stop here,"
1," Illi Nillisi."
0," If I want to say go there,"
1," Alli Hogi."
0," And if I'm totally lost and panicking, where is Indiranagar?"
1," Indiranagar Elli. Or more politely, Indiranagar Elli L D."
0," Simple. Okay, now left, right, straight. This is where I always, always get confused."
1," Let's anchor it. Straight is Nera, pronounced N A Y RA. Just think of a narrow path, Nera."
0," Nera Hogi, go straight. I can remember that."
1," Now, left and right. They both end in this word Agade, which just means side."
0," Okay."
1," Left is Edagade. Pronounced Y E D A G A D."
0," Y E D A G A D."
1," Right is Balagade, pronounced B U A G A D."
0," Y E D A G A D. B U A G A D. I know I'm going to mix these up. Do you have a trick for those?"
1," I do. I think of Bala as ball. Most people are right-handed and you throw a ball with your right hand. So Balagade is the ball side, the right side."
0," That is actually really helpful. Balagade, ball side, right side. Okay, I think I can hold on to that."
1," Let's run it."
0," Let's run the full simulation. I see the auto, I wave, flag him down, he pulls over."
1," What do you say?"
0," I say, Indiranagar, with that question tone. He nods."
1," Good, he stops."
0," I get to the window, look at the meter, meter Idhe."
1," He grunts yes. You get it."
0," He starts driving, I say, Nera Hogi, go straight. Then I see my turn coming up. Balagade Hogi, go right."
1," Okay."
0," Then I see my office building. Illi Nillisi, stop here."
1," And you just successful"
