Speaker,Transcript
Expert," Okay. Normal L. Retroflex L. I'm curling it back."
Host," Oh."
Expert," Yes."
Host," That's it. That sound is everywhere. For example, the word for inside isn't Olagade with a flat lazy L. It is Olagade with that curl."
Expert," Let me look at the AI phonetic respelling here in the notes. It says OH-luh-guh-dey, but that L needs the curl. OH-luh-guh-dey."
Host," Much better. If you say it with a flat tongue, it sounds weak. The retroflex gives it that percussive quality, that punch."
Expert," Okay, I'm going to be practicing that tongue curl in my spare time. Next up is vowel length. Now this one seems easier, but the source says it's a trap."
Host," It is a massive trap because English is very lazy about vowel length. In Kannada, length is what we call semantically contrastive."
Expert," Which means the length changes the definition of the word."
Host," Completely. The classic example is Ka versus Kaa. Short Ka means to learn."
Expert," Long Kaa means to protect or to guard."
Host," Kaa."
Expert," See the difference?"
Host," Wow, so if I tell someone to learn the house instead of guard the house, I'm just confusing everyone."
Expert," You're confusing everyone. Or think about the difference between Bale, a net, and Baale, a plantain. It's everywhere. You have to be deliberate. You cannot rush the long vowels."
Host," It's almost musical. A short beat, a long beat."
Expert," And finally, aspiration. The puff of air."
Host," This is the difference between a soft K and a hard K, right?"
Expert," It's the difference between Ka, which is unaspirated, and Kha, which is aspirated. Put your hand in front of your mouth. Seriously, do it right now."
Host," Okay, hand is up."
Expert," Say the word sky. The K is soft. Almost no air should hit your hand."
Host," Sky. Yeah, nothing."
Expert," Now say the word king. You should feel a distinct puff of air."
Host," King. Woah, yeah. A little puff."
Expert," And that puff of air changes the meaning in Kannada. You have Ka and you have Kha. You have Ga and Gha. You need to punch those aspirated consonants. It's a physical act. Got it. Okay, so curl the tongue, watch the clock on the vowels, and punch the air. We're going to be using these phonetic respellings provided in the notes like OH-luh-guh-dey to keep ourselves honest."
Host," Exactly. We aren't just reading today, we are drilling."
Expert," All right, let's build this engine. Section 1, the foundations. The source material uses this Lego theory to explain how the language works, which I love."
Host," This is the absolute best way to visualize agglutination."
Expert," Agglutination. It's a great word for a spelling bee, but a terrifying word for a language learner."
Host," It just means gluing together. That's all. English is what we call an isolating language. If I want to say in the house, I take three separate bricks. In the house. I line them up on the table. They're near each other, but they aren't touching."
Expert," Right. There are spaces in between."
Host," Kannada doesn't do that. Kannada takes the root word, the main brick, which is Mane, house, and the suffix for in, which is -alli, and it snaps them together into a single solid block. Maneyalli."
Expert," Maneyalli. One word. One solid unit. And here is why the Lego theory is your survival kit. You do not need to memorize a phrasebook with 10,000 sentences. That's a fool's errand. You just need a pocket full of Legos, the suffixes."
Host," Because I can snap those suffixes onto anything."
Expert," Anything. And this brings us to the ultimate Kanglish hack. Let's say you're back at that Silk Board Junction. You want to say in the auto, you panic. You forget the Kannada word for auto, though. Hopefully, you know it's just auto."
Host," Yes, definitely auto. Yeah."
Expert," But let's say you want to say in the office. You don't know the Kannada word for office. You don't need to."
Host," Okay."
Expert," You take the English brick office. You snap on the Kannada brick -nalli, which is just -alli with a little smoothing connecting sound. Office-nalli."
Host," Office-nalli."
Expert," Bus-nalli. Meeting-nalli."
Host," Wait, hold on a second. I can really get away with that. Traffic-nalli."
Expert," You will sound like a local. That is genuinely how people speak."
Host," Yeah?"
Expert," You are using the Kannada engine, the grammar, even if the car body is English."
Host," That takes so much pressure off. I don't need a dictionary, I just need the suffixes. I just need the Lego bricks."
Expert," Exactly. You are running the code."
Host," Now, before we get to our first scenario, there's one historical cheat code the source has mentioned that completely blew my mind. The P to H shift."
Expert," Ah, the 1,000-year-old cheat code. This is fascinating history that just so happens to double as a vocabulary hack."
Host," So explain the shift. What happened?"
Expert," Okay, so Kannada is a Dravidian language and it's related to Tamil, Telugu, Malayalam. About a thousand years ago, somewhere between the 10th and 14th centuries, a massive phonetic shift happened in the Kannada language."
Host," Okay."
Expert," Almost every single word that started with the letter P in Proto-Dravidian shifted to start with the letter H in Kannada."
Host," So if I know a little Tamil or even just some general South Indian root words, I can just swap the letter."
Expert," You can literally just swap the letter. Let's play a game. I'll give you the old or the Tamil root starting with P, you apply the shift and give me the modern Kannada word."
Host," All right, I'm ready. Let's do it."
Expert," The word for milk in Tamil, it is Paal."
Host," Okay, so P becomes H. Paal becomes Haalu."
Expert," Pronounced HAA-loo. Yes, perfect. Next one. The word for flower. You see this written everywhere in the south. Poo."
Host," Poo becomes Hoovu."
Expert," Pronounced HOO-voo. You got it. How about the word for 10? In Tamil, Pattu."
Host," Pattu becomes Hattu."
Expert," Pronounced HUT-too. And finally, the word for village. You see this in place names all over Tamil Nadu, like Tiruchirappalli. The root is Palli."
Host," Palli becomes Halli, as in Marathahalli."
Expert," Exactly. Marathahalli just means Maratha village. This rule is so consistent once you see it, you start seeing it everywhere. It's like a secret code."
Host," That is incredibly cool. It connects the deep history of the language directly to reading a map today."
Expert," It really does. Now, are you ready to put this engine to the test in a real world scenario?"
Host," I am so ready. Let's go back to Silk Board. Section 2. Scenario 1, the auto rickshaw."
Expert," All right. This first scenario is all about navigation and hierarchy. And the very first thing we have to fix is your social settings, your default mode."
Host," We need to talk about the you trap."
Expert," Yes. In English, you is just you. It's simple. I talk to my boss, I say you. I talk to my kid, I say you. I talk to my dog, I say you."
Host," One size fits all."
Expert," Kannada has a very strict hierarchy. There is Neenu and there is Neevu."
Host," And Neenu is the singular informal one."
Expert," Neenu is singular and informal. It is strictly for children, very, very close friends the same age or younger, or, this is important, God."
Host," Wait, God gets the informal treatment?"
Expert," It's seen as a sign of intimacy with the divine. It's a term of endearment almost. But, and this is a huge but, if you use Neenu with an auto driver,"
Host," Bad things are going to happen."
Expert," It is deeply offensive. It implies that you think they are beneath you. It sounds arrogant and dismissive. You must, must, must use Neevu."
Host," Pronounced NEE-voo."
Expert," Neevu. It's technically the plural you, but you use it for a single person as a sign of respect. It is your default for everyone you don't know intimately."
Host," Okay, default setting is now permanently switched to Neevu. Got it. Now, we need to give commands. The driver's waiting. I need him to stop. I need him to go."
Expert," Right. So if you look in a dictionary, you might see the root word Nillu for stop. Do not yell Nillu at the driver."
Host," Why not?"
Expert," It's like yelling halt at a servant. It's a bare command, it's very rude."
Host," So we need the respectful imperative form. How do we make it polite?"
Expert," We add a suffix. You either add -i or -isi. This little Lego brick transforms a rude command into a polite request."
Host," Okay."
Expert," Let's look at our vocabulary. The word for stop."
Host," Okay, I'm looking at the list. The polite form is Nillisi."
Expert," And that's pronounced NIL-lee-see."
Host," NIL-lee-see."
Expert," Say it with me. NIL-lee-see."
Host," NIL-lee-see. So I could say Saar, illi nillisi. Which would be Sir, stop here."
Expert," Perfect. Now go. The root is Hogu, but we don't say that. We add the -i, so it's Hogi. Pronounced HOH-gee."
Host," HOH-gee. That's right. And note the aspiration on that G isn't super heavy, but it is distinct. HOH-gee."
Expert," HOH-gee."
Host," And come. The root is Baa, but to the driver,"
Expert," We add the polite suffix."
Host," Right."
Expert," So it's Banni, pronounced BUN-nee."
Host," BUN-nee. So you see, you aren't barking orders, you are collaborating. Banni, Hogi, Nillisi, it's respectful. Okay, I'm in the auto, but now comes the big one. I need to know if he's actually going to use the meter. I don't want to get ripped off at the end of the ride. I need to ask a question."
Expert," Right. Which brings us to the magic question suffix."
Host," Okay."
Expert," This is my absolute favorite piece of efficiency in the Kannada language. English is so clumsy with questions. Is the meter there? Will you put the meter on? We're rearranging words, changing the tone. It's a lot of work."
Host," So what does Kannada do?"
Expert," It just stretches the tail. You simply add an -a sound to the end of the final word in the statement."
Host," That's it. You just elongate the vowel."
Expert," That's it. It's that simple. Let's look at the statement first. There is a meter. Meter is English. There is, is the word Ide."
Host," So meter Ide?"
Expert," Meter Ide. That's a statement of fact. Now, you want to ask, is there a meter? Or, more to the point, will you use the meter? You take Ide and you just stretch it. It becomes Ideya."
Host," Meter Ideya?"
Expert," Do you hear how your pitch goes up at the end?"
Host," Ideya."
Expert," Ideya. Yeah, it feels natural."
Host," Perfect. It works for everything."
Expert," Will you come? That's Bartira. Is it correct? That's Sariya."
Host," Is it correct? Wait, Sariya. I hear that all the time in the office."
Expert," It is the most common phrase in corporate Bengaluru. Is this data Sariya? You are applying the Kannada engine to English words. You've been hearing it all along."
Host," Mind-blown. Okay. So I get in, I point at the meter and I ask meter Ideya. He nods. We're moving. But now, oh no, he's about to miss the turn."
Expert," We need spatial anchors. The source calls this the GPS rhyme."
Host," I like that."
Expert," It's a simple rhyme, which makes it stick in your brain. Here, there, where. Illi, Alli, Elli."
Host," Okay, let's drill the pronunciation on those. Here."
Expert," Illi, pronounced ILL-lee."
Host," ILL-lee. There."
Expert," Alli, pronounced ULL-lee."
Host," ULL-lee. And where?"
Expert," Elli, pronounced YELL-lee."
Host," YELL-lee. And I'm noting that Y sound at the beginning of Elli. It's not Elli, it's Yelli."
Expert," Exactly. The Y glide is crucial."
Host," So if I want to say stop here,"
Expert," Illi Nillisi."
Host," If I want to say go there,"
Expert," Alli Hogi."
Host," And if I'm totally lost and panicking, where is Indiranagar?"
Expert," Indiranagar Elli. Or more politely, Indiranagar Elli Ide?"
Host," Simple. Okay, now left, right, straight. This is where I always, always get confused."
Expert," Let's anchor it. Straight is Nēra, pronounced NAY-rah. Just think of a narrow path, Nēra."
Host," Nēra Hogi, go straight. I can remember that."
Expert," Now, left and right. They both end in this word -gade, which just means side."
Host," Okay."
Expert," Left is Edagade. Pronounced ay-duh-GAH-dey."
Host," Ay-duh-GAH-dey."
Expert," Right is Balagade, pronounced buh-luh-GAH-dey."
Host," Ay-duh-GAH-dey. Buh-luh-GAH-dey. I know I'm going to mix these up. Do you have a trick for those?"
Expert," I do. I think of Bala as ball. Most people are right-handed and you throw a ball with your right hand. So Balagade is the ball side, the right side."
Host," That is actually really helpful. Balagade, ball side, right side. Okay, I think I can hold on to that."
Expert," Let's run it."
Host," Let's run the full simulation. I see the auto, I wave, flag him down, he pulls over."
Expert," What do you say?"
Host," I say, Indiranagar? with that question tone. He nods."
Expert," Good, he stops."
Host," I get to the window, look at the meter, meter Ideya?"
Expert," He grunts yes. You get in."
Host," He starts driving, I say, Nēra Hogi, go straight. Then I see my turn coming up. Balagade Hogi, go right."
Expert," Okay."
Host," Then I see my office building. Illi Nillisi, stop here."
Expert," And you just successfully"
Expert,"navigated the city without using a single word of English grammar. You used the engine."
Host," That feels powerful. I feel like I just leveled up in a video game."
Expert," You did. But now comes the hard part. The driver wants money, and then you need to go buy some vegetables. We are now entering section three, scenario two, the shopkeeper."
Host," This is where we move from navigation to pure transaction, and the source mentions a huge philosophical shift here, the experiencer dative."
Expert," This is the hurdle where most English speakers trip and fall. It's a fundamental rewiring of how you see the world."
Host," Explain."
Expert," In English, we are incredibly egocentric. I want coffee, I need water, I am the hero of the sentence, I am the one doing the wanting. The action originates with me."
Host," Right. Subject verb object. I learned that in third grade."
Expert," Kannada sees the world completely differently. Needs, feelings, desires, knowledge, these are not things you do, these are things that happen to you. You are the experiencer, not the agent."
Host," So I don't say I want coffee."
Expert," You say, to me, coffee is needed."
Host," To me, that's the dative case."
Expert," Yes, and to me in Kannada is Nanage, pronounced nuh-nuh-GEY."
Host," Nuh-nuh-GEY."
Expert," And the word for needed or wanted is Bēku, pronounced BAY-koo."
Host," BAY-koo. So the formula is always Nanage plus the thing plus Bēku."
Expert," Always. Nanage coffee Bēku. Nanage neeru Bēku. Nanage change Bēku."
Host," But if I don't want it, the shopkeeper is trying to sell me these really expensive mangoes."
Expert," Then you need the shield. The direct opposite of Bēku is Bēda, pronounced BAY-dah."
Host," BAY-dah."
Expert," It is polite, but it is final. If a hawker is bothering you, you don't need to get angry or yell, you just hold up your hand and say firmly but politely, Saar, Bēda."
Host," Or the full sentence, Nanage Bēda. To me, it is not needed."
Expert," Exactly."
Host," Nanage Bēku, Nanage Bēda. That's the binary code of all commerce right there. But we can't shop without knowing the numbers. We have to tackle the number drills from our notes."
Expert," The numbers are absolutely non-negotiable. If you don't know the numbers, you will overpay, period. It's a guarantee."
Host," Okay, let's drill the base one through 10. The source says, if you know these 10, you can basically unlock all the others. I'm going to say the number, you give me the Kannada and I'll try to repeat the pronunciation correctly."
Expert," Let's do it. Fire away."
Host," One."
Expert," Ondu, pronounced ON-doo."
Host," ON-doo. Two."
Expert," Eradu, pronounced AY-ruh-doo."
Host," AY-ruh-doo."
Expert," Three. Mooru, pronounced MOO-roo."
Host," MOO-roo. Four."
Expert," Naalku, pronounced NAAL-koo. Notice that long aa vowel."
Host," NAAL-koo."
Expert," Five. Aidhu, pronounced EYE-doo. Okay, halfway. Six."
Host," Aaru, pronounced AA-roo."
Expert," AA-roo. Seven."
Host," Yelu, pronounced YAY-loo."
Expert," YAY-loo. Eight."
Host," Entu, pronounced EN-too."
Expert," EN-too. Nine."
Host," Ombathu, pronounced OM-buh-too."
Expert," OM-buh-too. And 10."
Host," Hattu, pronounced HUT-too. Remember our P-to-H shift? Pattu becomes Hattu."
Expert," HUT-too. Okay. Ondu, Eradu, Mooru, Naalku, Aidhu, Aaru, Yelu, Entu, Ombathu, Hattu. I think I have it."
Host," That's the foundation."
Expert," The prices are rarely a neat 8 rupees. They're 12, 18, 25 rupees. How do the teens work? This is where that sandhi concept, the gluing, comes back in a big way. Let's take 11. It's just 10 plus one."
Host," Right."
Expert," So, Hattu plus Ondu."
Host," Right."
Expert," But you don't say Hattu Ondu. It's clunky. The sounds get smoothed and smashed together, becomes Hannondu."
Host," Hannondu. Okay, it's a contraction."
Expert," Exactly. 12 is Hattu plus Eradu. It becomes Hanneradu."
Host," Hanneradu."
Expert," Hanneradu. You hear that prefix pattern, Hann-."
Host," Yeah. And then I see in the notes that for 13 onwards, the prefix changes slightly to Hadi-."
Expert," Yes. So, 13 is Hadi plus Mooru. Hadimooru."
Host," Hadi plus... 14 would be"
Expert," Yeah."
Host," Hadi plus Naalku. Hadinaalku."
Expert," 15. Hadi plus Aidhu. Hadinaidhu."
Host," Yeah."
Expert," And so on. So, if you hear that Hadi- prefix, you know you're in the teens."
Host," Okay, this is logical. I can follow this. What about the big round numbers? 50, 100."
Expert," 50 is Aivathu, pronounced EYE-vuh-too."
Host," EYE-vuh-too."
Expert," And 100 is Nooru, pronounced NOO-roo."
Host," NOO-roo. Okay, so let's do a little math problem. I'm at the shop. I buy a coconut for 30 rupees. That's Muvathu, and some flour for 20, Ippathu. The total is 50."
Expert," Right."
Host," The shopkeeper says, Aivathu."
Expert," Correct. But then maybe he says, wait, with the plastic bag, it is 55."
Host," Oh, classic."
Expert," So, he takes 50, Aivathu, and adds five, Aidhu. They get glued together."
Host," Yeah."
Expert," Aivathu-Aidhu."
Host," Aivathu-Aidhu. It really is like Legos. You just stick the five right onto the end of the 50."
Expert," That's exactly what it is."
Host," But I don't want to pay 55. I want to bargain."
Expert," We need a bargaining script."
Host," Okay, let's role-play this. I'm the shopkeeper. You want to buy this nice scarf. I tell you the price is Nooru rupees."
Expert," 100. 100. Okay, first I need to know how to ask how much, which is Eshtu, pronounced ESH-too."
Host," Eshtu, I say. Nooru rupees, madam."
Expert," I have to do a dramatic gasp. Then I say, Jaasthi, pronounced JAAS-tee, which means too much."
Host," Right."
Expert," Or to be really emphatic, I can say Thumba Jaasthi."
Host," Right."
Expert," Very much too much."
Host," I shrug. I say, very good quality, madam. Best quality."
Expert," Now, I need to make my counter offer. I need to say, reduce a little. So, a little is Swalpa, reduce is Kami maadi. So, Swalpa Kami maadi. Swalpa is the most important word in that phrase, pronounced SWAL-pah. It softens everything. If you just say Kami maadi, it's a harsh demand. Swalpa Kami maadi is a polite negotiation."
Host," Swalpa Kami maadi."
Expert," I look at the scarf. I look at you. I sigh. Okay. 90. Tombathu."
Host," Tombathu. I'll take it. Done."
Expert," See? You just saved 10 rupees."
Host," Fantastic. Now, before we leave the market, I need to know where things are located relative to me. This locational grammar part. How do I say from the market?"
Expert," Suffix time again. The suffix for from is -inda."
Host," So, it's just market-inda."
Expert," Market-inda. I came from the market."
Host," And inside and outside?"
Expert," We covered inside with the retroflex drill. It's Olagade, remember? OH-luh-guh-dey."
Host," Right. Olagade."
Expert," And outside is Horagade, pronounced HOH-ruh-guh-dey."
Host," So, shop Olagade means inside the shop, and shop Horagade means outside the shop."
Expert," You're building sentences. You're seeing the matrix."
Host," I really am. Okay, we have survived the traffic. We have successfully bought our groceries without getting ripped off. Now, we finally get to relax. We're moving to section four, scenario three, coffee with friends."
Expert," The whole vibe changes here completely. We aren't commanding drivers or negotiating prices anymore. We're connecting. And we have to start with the ultimate Bengaluru icebreaker."
Host," This isn't just a simple how are you, is it?"
Expert," No. How are you is a bit formal. You can say, Heggiddira, it's fine. But the real local way to connect is to ask, Oota aitha?"
Host," Pronounced OO-tah EYE-tah."
Expert," Exactly. Oota means meal, and aitha means did it happen or is it done? So, literally, you're asking, has your meal happened?"
Host," That is so Indian. It's like the fundamental way we show love and care is through food."
Expert," It is. If it's 2:00 in the afternoon, Oota aitha means did you have lunch? If it's 9:00 in the morning, you might ask Tindi aitha, which is did you have breakfast? It's a check-in. It means are you fed? Are you okay?"
Host," So, how do I answer if I ate?"
Expert," If you ate, you just say Aaithu, which means it happened."
Host," Aaithu."
Expert," And if you haven't eaten yet, you say Aagilla. It has not happened."
Host," Aaithu, Aagilla. Simple. Okay, so we're at the cafe. We're drinking filter coffee. We're talking about life. We need to express our feelings. I have a feeling we're back to the experiencer dative again, aren't we?"
Expert," We are. Happiness, sadness, boredom, these are states that happen to you. Let's take happiness. The word is Khushi."
Host," Khushi."
Expert," You don't say I am happy. That's English thinking. You say, to me, happiness has happened. Nanage Khushi aaithu."
Host," Nanage Khushi aaithu. What about if I'm bored? Or just feeling a bit down?"
Expert," The all-purpose word for that is Bejara, pronounced BAY-jah-rah. Nanage Bejara aaithu. To me, boredom or sadness has happened."
Host," Nanage Bejara aaithu. Okay. What about knowledge? I know versus I don't know. This seems huge."
Expert," This is one of the most useful things you can learn. I know is Nanage Gothu, pronounced GOH-too."
Host," Nanage Gothu. Again, to me, there is knowledge."
Expert," And I don't know is Nanage Gothilla, pronounced goh-TILL-lah."
Host," Gothilla. I feel like that is the single most useful phrase for any beginner. Do you know the way to MG Road? Gothilla. Do you know why the traffic has stopped for an hour? Gothilla."
Expert," Use it freely. It's much better to admit ignorance than to guess and get someone even more lost."
Host," Okay, now let's talk about actions happening right now. The tense engine, the notes call it. I am coming, I am going."
Expert," Right. This is the present continuous tense. The key mechanic here is an infix, a little piece that goes in the middle of a word. It's the sound -th-."
Host," Okay."
Expert," Let's take the verb to come, which is Baru. To say I am coming, you take the root Baru, you add that -th- infix, and then you add the suffix for I, which is -ini."
Host," So, Baru plus -th- plus -ini becomes Barthini."
Expert," Barthini. Pronounced bar-TEE-nee. I'm coming."
Host," And to go is Hogu, so that would be Hogthini, pronounced HOG-tee-nee."
Expert," HOG-tee-nee. I am going."
Host," I notice we aren't saying the word for I, which is Naanu."
Expert," We don't need to. The suffix -ini already tells us the subject is I. This is called pro-drop. You just drop the pronoun. It's faster, it's more natural."
Host," So, my friend calls and asks, where are you? And I can just say, oh, Barthini, Barthini."
Expert," Exactly. That's the classic I'm 5 minutes away lie. Barthini."
Host," Finally, we can't be in Bengaluru without talking about Kanglish and the street slang. This is the flavor text from our notes."
Expert," This is the real flavor text. The Maadi hack is the ultimate survival tool. Maadi just means do."
Host," Right."
Expert," You can attach it to almost any English verb to create a Kanglish verb."
Host," So, call Maadi. Check Maadi."
Expert," Adjust Maadi. Swalpa adjust Maadi. Please adjust a little. This is the official motto of the city."
Host," I believe it."
Expert," You're on a crowded bus. There's no seat. You look at someone and say, Swalpa adjust Maadi, and they'll squish over."
Host," Okay, what about how we address people? I hear the word Guru all the time."
Expert," Guru, pronounced GOO-roo. Literally, it means teacher or master, but in slang, it means boss, chief, buddy. It is the perfect all-purpose word for a male stranger. It's safe, respectful, but also cool."
Host," So, I can say to the auto driver, Guru, meter haaki."
Expert," Perfect. That's exactly how you'd use it."
Host," And what about the word Maga?"
Expert," Maga, pronounced MUH-gah. Literally, it means son. This is strictly for close friends. Do not call your auto driver Maga."
Host," Why not? Is it offensive?"
Expert," Just too intimate. It's like calling a taxi driver in New York sweetheart or my baby. It's just weird. It crosses a line. Stick to Guru."
Host," Got it. Guru for strangers, Maga for friends. And finally superlatives. How do I say something is really really awesome? The coffee is good."
Expert," Your standard everyday good is Chennagide, pronounced chen-nah-GEE-dey. It means it is good."
Host," Chennagide."
Expert," But if it's amazing, if it's fantastic, you say Bombaat, pronounced bom-BAAT."
Host," Bombaat. I like that."
Expert," And the source mentions one more, which is more slangy, Chindi."
Host," Chindi. Pronounced CHIN-dee."
Expert," Right. Literally, Chindi means shredded or torn, like shredded paper. But in slang, it means you crushed it, you tore it up. It was amazing."
Host," So, I can say coffee Chindi aagide."
Expert," Yes."
Host," Ah."
Expert," The coffee is shredding. It's amazing."
Host," Chindi. I love that. Okay, we have covered a massive amount of ground. We've built the engine. We've learned the navigation commands, the transaction numbers, and the friendship slang. But before we wrap up, I want to briefly revisit sandhi because we kind of did it naturally, but I want to make sure I understand the actual rule."
Expert," Let's revisit that."
Host," Why is it Maneyalli and not Mane-alli?"
Expert," It's all about flow. Try saying Mane-alli. Mane-alli. Do you feel that little stop in your throat between the two vowels, that little hiccup?"
Host," Yeah, there's a definite catch, a glottal stop."
Expert," Languages hate hiccups. They want to be smooth. They want to flow. So, to prevent that hiccup, Kannada inserts a glide sound between the vowels."
Host," A glide."
Expert," Because Mane ends in an E sound, which is a front vowel, it inserts a Y glide. So, Mane plus -alli. It becomes Maneyalli. It just slides together beautifully."
Host," Ah. Okay, and what if the word ended in a U sound, like Guru? If I wanted to say in the Guru, Guru plus -alli."
Expert," So, Guru ends in a back vowel, a U. So, it doesn't use a Y glide, it uses a V glide. It would be Guru plus V plus -alli, Guruvalli."
Host," Wow. That explains so much. It's aerodynamic. The language wants to move fast without any friction."
Expert," That's a perfect way to put it. It's aerodynamic."
Host," Okay, let's do one last quick pronunciation check on those tricky pairs from the AI doc, just to lock it in. Listen versus tell."
Expert," This is a critical one. Listen or ask is Keli, pronounced KAY-lee. Tell is Heli, pronounced HAY-lee."
Host," HAY-lee."
Expert," Do not mix these up. If you say Heli when you mean Keli, the entire conversation just breaks down."
Host," And the subtle difference between a statement and a question on our favorite word, Bēku."
Expert," Statement. Nanage coffee Bēku, pronounced BAY-koo. I want coffee."
Host," Bēku."
Expert," Question. Nanage coffee Bēka? Pronounced BAY-kah. Do you want coffee?"
Host," Bēka."
Expert," So, that final vowel change, -oo versus -ah, that's the whole difference."
Host," We are reaching the end of our deep dive. Let's head to the outro and get the algorithm recap."
Expert," If you take only one thing away from this entire deep dive, let it be this simple algorithm. Stop trying to memorize the dictionary. It won't work."
Host," Okay."
Expert," Step one, identify your root word. And remember, English is fine. Office. Meeting."
Host," Step two."
Expert," Step two. Identify the relationship you need. Into, from, for."
Host," And step three."
Expert," Step three. Glue the correct Kannada suffix onto your root word."
Host," Office-nalli. Driver, Nanage coffee Bēku."
Expert," You are building, not just reciting. You are running the engine."
Host," That is the shift. From thinking of it as art to thinking of it as logistics. It makes it so much more achievable. Now, for the cultural closing. The source gave us a truly beautiful and important phrase to end with. Never say I go."
Expert," Never. If you are leaving a friend's house or getting off the phone and you just say Hogthini, I am going,"
Host," It's jarring."
Expert," It's jarring. It implies you are leaving forever. It has connotations of death. It's considered very inauspicious."
Host," So, what do I say instead?"
Expert," You must complete the circle. You have to promise your return. So, you say Hogi barthini, pronounced HOH-gee bar-TEE-nee."
Host," And the meaning is?"
