Speaker tag,Transcript
1," And 100 is nuru, pronounced N-O-O-R-U."
2," N-O-O-R-U. Okay, so let's do a little math problem. I'm at the shop. I buy a coconut for 30 rupees. That's muvattu, and some flour for 20 upattu. The total is 50."
1," Right."
2," The shopkeeper says, ivattu."
1," Correct. But then maybe he says, wait, with the plastic bag, it is 55."
2," Oh, classic."
1," So, he takes 50, ivattu, and adds five, idu. They get glued together."
2," Yeah."
1," Ivattu idu."
2," Ivattu idu. It really is like Legos. You just stick the five right onto the end of the 50."
1," That's exactly what it is."
2," But I don't want to pay 55. I want to bargain."
1," We need a bargaining script."
2," Okay, let's role-play this. I'm the shopkeeper. You want to buy this? Nice scarf. I tell you the price is nuru rupees."
1," 100. 100. Okay, first I need to know how to ask how much, which is eshtu, pronounced E-H-S-T-U."
2," Eshtu, I say. Nuru rupees, madam."
1," I have to do a dramatic gasp. Then I say, jasti, pronounced J-A-H-S-T-I, which means too much."
2," Right."
1," Or to be really emphatic, I can say thumba jasti."
2," Right."
1," Very much too much."
2," I shrug. I say, very good quality, madam. Best quality."
1," Now, I need to make my counter offer. I need to say, reduce a little. So, a little is swalpa, reduce is kammi madi. So, swalpa kammi madi. Swalpa is the most important word in that phrase, pronounced swalpa. It softens everything. If you just say kammi madi, it's a harsh demand. Swalpa kammi madi is a polite negotiation."
2," Swalpa kammi madi."
1," I look at the scarf. I look at you. I sigh. Okay. 90. Tumbattu."
2," Tumbattu. I'll take it. Done."
1," See? You just saved 10 rupees."
2," Fantastic. Now, before we leave the market, I need to know where things are located relative to me. This locational grammar part. How do I say from from the market?"
1," Prefix time again. The suffix for from is inda."
2," So, it's just market inda."
1," Market inda. I came from the market."
2," And inside and outside?"
1," We covered inside with the retroflex drill. It's olagade, remember? O-L-A-G-A-H-D-E."
2," Right. Olagade."
1," And outside is horagade, pronounced H-O-R-A-G-A-H-D-E."
2," So, shop olagade means inside the shop, and shop horagade means outside the shop."
1," You're building sentences. You're seeing the matrix."
2," I really am. Okay, we have survived the traffic. We have successfully bought our groceries without getting ripped off. Now, we finally get to relax. We're moving to section four, scenario three, coffee with friends."
1," The whole vibe changes here completely. We aren't commanding drivers or negotiating prices anymore. We're connecting. And we have to start with the ultimate Bengaluru icebreaker."
2," This isn't just a simple how are you, is it?"
1," No. How are you is a bit formal. You can say, hegidira, it's fine. But the real local way to connect is to ask, uta ayitha."
2," Pronounced uta e ayitha."
1," Exactly. Uta means meal, and ayitha means did it happen or is it done? So, literally, you're asking, has your meal happened?"
2," That is so Indian. It's like the fundamental way we show love and care is through food."
1," It is. If it's 2:00 in the afternoon, uta ayitha means did you have lunch? If it's 9:00 in the morning, you might ask tindi ayitha, which is did you have breakfast? It's a check-in. It means are you fed? Are you okay?"
2," So, how do I answer if I ate?"
1," If you ate, you just say ayithu, which means it happened."
2," Ayithu."
1," And if you haven't eaten yet, you say agilla. It has not happened."
2," Ayithu. Simple. Okay, so we're at the cafe. We're drinking filter coffee. We're talking about life. We need to express our feelings. I have a feeling we're back to the experiencer dative again, aren't we?"
1," We are. Happiness, sadness, boredom, these are states that happen to you. Let's take happiness. The word is khushi."
2," Khushi."
1," You don't say I am happy. That's English thinking. You say, to me, happiness has happened. Nanage khushi ayithu."
2," Nanage khushi ayithu. What about if I'm bored? Or just feeling a bit down?"
1," The all-purpose word for that is bejara, pronounced B-A-J-A-H-R-A. Nanage bejara ayithu. To me, boredom sadness has happened."
2," Nanage bejara ayithu. Okay. What about knowledge? I know versus I don't know. This seems huge."
1," This is one of the most useful things you can learn. I know is nanage gotthu, pronounced G-O-H-T-U."
2," Nanage gotthu. Again, to me, there is knowledge."
1," And I don't know is nanage gotthilla, pronounced go thilla."
2," Gotthilla. I feel like that is the single most useful phrase for any beginner. Do you know the way to MG Road? Gotthilla. Do you know why the traffic has stopped for an hour? Gotthilla."
1," Use it freely. It's much better to admit ignorance than to guess and get someone even more lost."
2," Okay, now let's talk about actions happening right now. The tense engine, the notes call it. I am coming, I am going."
1," Right. This is the present continuous tense. The key mechanic here is an infix, a little piece that goes in the middle of a word. It's the sound T."
2," Okay."
1," Let's take the verb to come, which is barru. To say I am coming, you take the root barru, you add that ne T infix, and then you add the suffix for I, which is ini."
2," So, barru plus T plus ini becomes barthini."
1," Barthini. It sounds B-A-R-T-H-I-N-I. I'm coming."
2," And to go is hogu, so that would be hogini, pronounced H-O-G-I-N-I."
1," H-O-G-I-N-I. I am going."
2," I notice we aren't saying the word for I, which is nanu."
1," We don't need to. The suffix -ini already tells us the subject is I. This is called pro-drop. You just drop the pronoun. It's faster, it's more natural."
2," So, my friend calls and asks, where are you? And I can just say, oh, barthini, barthini."
1," Exactly. That's the classic I'm 5 minutes away lie. Barthini."
2," Finally, we can't be in Bengaluru without talking about Kanglish and the street slang. This is deck three in our notes."
1," This is the real flavor text. The madi hack is the ultimate survival tool. Madi just means do."
2," Right."
1," You can attach it to almost any English verb to create Kanglish verb."
2," So, call madi. Check madi."
1," Adjust madi. Swalpa adjust madi. Please adjust a little. This is the official motto of the city."
2," I believe it."
1," You're on a crowded bus. There's no seat. You look at someone and say, swalpa adjust madi, and they'll squish over."
2," Okay, what about how we address people? I hear the word guru all the time."
1," Guru, pronounced G-O-R-U. Literally, it means teacher or master, but in slang, it means boss, chief, buddy. It is the perfect all-purpose word for a male stranger. It's safe, respectful, but also cool."
2," So, I can say to the auto driver, guru, meet a kadia."
1," Perfect. That's exactly how you'd use it."
2," And what about the word maga?"
1," Maga, pronounced M-A-H-S-G-A. Literally, it means son. This is strictly for close friends. Do not call your auto driver maga."
2," Why not? Is it offensive?"
1," Just too intimate. It's like calling a taxi driver in New York sweetheart or my baby. It's just weird. It crosses a line. Stick to guru."
2," Got it. Guru for strangers, maga for friends, and finally superlatives. How do I say something is really really awesome? The coffee is good."
1," Your standard everyday good is chennagide, pronounced che- na- ge- de. It means it is good."
2," Chennagide."
1," But if it's amazing, if it's fantastic, you say bombat, pronounced bombat."
2," Bombat. I like that."
1," And the source mentions one more, which is more slangy, chindi."
2," Chindi. Pronounced chi- n di."
1," Right. Literally, chindi means shredded or torn, like shredded paper. But in slang, it means you crushed it, you tore it up. It was amazing."
2," So, I can say coffee chindi agide."
1," Yes."
2," Ah."
1," The coffee is shredding. It's amazing."
2," Chindi. I love that. Okay, we have covered a massive amount of ground. We've built the engine. We've learned the navigation commands, the transaction numbers, and the friendship slang. But before we wrap up, I want to briefly revisit sandy because we kind of did it naturally, but I want to make sure I understand the actual rule."
1," Get back"
2," Why is it Maneyali and not Maneyalli?"
1," It's all about flow. Try saying Maneyalli. Maneyalli. Do you feel that little stop in your throat between the two vowels, that little hiccup?"
2," Yeah, there's a definite catch, a glottal stop."
1," Languages hate hiccups. They want to be smooth. They want to flow. So, to prevent that hiccup, Kannada inserts a glide sound between the vowels."
2," A glide."
1," Because mane ends in an E sound, which is a front vowel, it inserts a G glide. So, mane plus illi plus alli. It becomes Maneyalli. It just slides together beautifully."
2," Ah. Okay, and what if the word ended in a U sound, like guru? If I wanted to say in the guru, guru plus alli."
1," So, guru ends in a back vowel, a U. So, it doesn't use a U glide, it uses a V glide. It would be guru plus V plus alli, guruvalli."
2," Wow. That explains so much. It's aerodynamic. The language wants to move fast without any friction."
1," That's a perfect way to put it. It's aerodynamic."
2," Okay, let's do one last quick pronunciation check on those tricky pairs from the AI doc, just to lock it in. Listen versus tell."
1," This is a critical one. Listen or ask is keli, pronounced keli. Keli. Tell is heli, pronounced H-A-L-I."
2," H-A-L-I."
1," Do not mix these up. If you say heli when you mean when you mean keli, ask me, the entire conversation just breaks down."
2," And the subtle difference between a statement and a question on our favorite word, beku."
1," Statement. Nanage coffee beku, pronounced be- ku- ku. I want coffee."
2," Beku."
1," Question. Nanage coffee beka. Pronounced be- ka. Do you want coffee?"
2," Beka."
1," So, that final vowel change"
2," Oh."
1," Versus uh that's the whole difference."
2," We are reaching the end of our deep dive. Let's head to the outro and get the algorithm recap."
1," If you take only one thing away from this entire deep dive, let it be this simple algorithm. Stop trying to memorize the dictionary. It won't work."
2," Okay."
1," Step one, identify your root word. And remember, English is fine. Office. Meeting."
2," Step two."
1," Step two. Identify the relationship you need. Into, from, for."
2," And step three."
1," Step three. Glue the correct Kannada suffix onto your root word."
2," Office nalli. Driver, nanage coffee beku."
1," You are building, not just reciting. You are running the engine."
2," That is the shift. From thinking of it as art to thinking of it as logistics. It makes it so much more achievable. Now, for the cultural closing. The source gave us a truly beautiful and important phrase to end with. Never say I go."
1," Never. If you are leaving a friend's house or getting off the phone and you just say hogini, I am going,"
2," It's jarring."
1," It's jarring. It implies you are leaving forever. It has connotations of death. It's considered very inauspicious."
2," So, what do I say instead?"
1," You must complete the circle. You have to promise your return. So, you say hogibarthini, pronounced H-O-H-G-I, bar- tini."
2," And the meaning is?"
1," Having gone, I will come back. It acknowledges the departure, but it immediately promises the return. It keeps the connection, the relationship alive and unbroken."
2," Hogibarthini. That's actually poetry. We found the poetry inside the logistics after all."
1," You did. It was there all along."
2," All right, here is your final call to action. We're calling it the imperative challenge. The next time you are in an auto or an Uber or even just in a shop in Bengaluru, do not use English for the basic directional commands."
1," Just try one."
2," Just one. Don't say go straight. I want you to take a deep breath, curl your tongue back for that retroflex sound if you need to, and say nera hoghi. Just that one phrase."
1," Even if you panic right after that and switch back to English for everything else, that one phrase completely changes the dynamic. You aren't just a tourist or a passenger anymore. You are a navigator. You're participating."
2," Thank you so much for joining us on this deep dive into the morphosyntactic engine. And to our expert, thank you for guiding us through it."
1," It was my pleasure. Hogibarthini."
2," Hogibarthini, we'll see you next time."
