Speaker,Transcript
Expert," Okay. Normal L. Retroflex L. I'm curling it back."
Host," Oh."
Expert," Yes."
Host," That's it. That sound is everywhere. For example, the word for inside isn't Olagade with a flat lazy L. It is Olagade with that curl."
Expert," Let me look at the AI phonetic respelling here in the notes. It says OH-luh-guh-dey, but that L needs the curl. OH-luh-guh-dey."
Host," Much better. If you say it with a flat tongue, it sounds weak. The retroflex gives it that percussive quality, that punch."
Expert," Okay, I'm going to be practicing that tongue curl in my spare time. Next up is vowel length. Now this one seems easier, but the source says it's a trap."
Host," It is a massive trap because English is very lazy about vowel length. In Kannada, length is what we call semantically contrastive."
Expert," Which means the length changes the definition of the word."
Host," Completely. The classic example is Ka versus Kaa. Short Ka means to learn."
Expert," Long Kaa means to protect or to guard."
Host," Kaa."
Expert," See the difference?"
Host," Wow, so if I tell someone to learn the house instead of guard the house, I'm just confusing everyone."
Expert," You're confusing everyone. Or think about the difference between Bale, a net, and Baale, a plantain. It's everywhere. You have to be deliberate. You cannot rush the long vowels."
Host," It's almost musical. A short beat, a long beat."
Expert," And finally, aspiration. The puff of air."
Host," This is the difference between a soft K and a hard K, right?"
Expert," It's the difference between Ka, which is unaspirated, and Kha, which is aspirated. Put your hand in front of your mouth. Seriously, do it right now."
Host," Okay, hand is up."
Expert," Say the word sky. The K is soft. Almost no air should hit your hand."
Host," Sky. Yeah, nothing."
Expert," Now say the word king. You should feel a distinct puff of air."
Host," King. Woah, yeah. A little puff."
Expert," And that puff of air changes the meaning in Kannada. You have Ka and you have Kha. You have Ga and Gha. You need to punch those aspirated consonants. It's a physical act. Got it. Okay, so curl the tongue, watch the clock on the vowels, and punch the air. We're going to be using these phonetic respellings provided in the notes like OH-luh-guh-dey to keep ourselves honest."
Host," Exactly. We aren't just reading today, we are drilling."
Expert," All right, let's build this engine. Section 1, the foundations. The source material uses this Lego theory to explain how the language works, which I love."
Host," This is the absolute best way to visualize agglutination."
Expert," Agglutination. It's a great word for a spelling bee, but a terrifying word for a language learner."
Host," It just means gluing together. That's all. English is what we call an isolating language. If I want to say in the house, I take three separate bricks. In the house. I line them up on the table. They're near each other, but they aren't touching."
Expert," Right. There are spaces in between."
Host," Kannada doesn't do that. Kannada takes the root word, the main brick, which is Mane, house, and the suffix for in, which is -alli, and it snaps them together into a single solid block. Maneyalli."
Expert," Maneyalli. One word. One solid unit. And here is why the Lego theory is your survival kit. You do not need to memorize a phrasebook with 10,000 sentences. That's a fool's errand. You just need a pocket full of Legos, the suffixes."
Host," Because I can snap those suffixes onto anything."
Expert," Anything. And this brings us to the ultimate Kanglish hack. Let's say you're back at that Silk Board Junction. You want to say in the auto, you panic. You forget the Kannada word for auto, though. Hopefully, you know it's just auto."
Host," Yes, definitely auto. Yeah."
Expert," But let's say you want to say in the office. You don't know the Kannada word for office. You don't need to."
Host," Okay."
Expert," You take the English brick office. You snap on the Kannada brick -nalli, which is just -alli with a little smoothing connecting sound. Office-nalli."
Host," Office-nalli."
Expert," Bus-nalli. Meeting-nalli."
Host," Wait, hold on a second. I can really get away with that. Traffic-nalli."
Expert," You will sound like a local. That is genuinely how people speak."
Host," Yeah?"
Expert," You are using the Kannada engine, the grammar, even if the car body is English."
Host," That takes so much pressure off. I don't need a dictionary, I just need the suffixes. I just need the Lego bricks."
Expert," Exactly. You are running the code."
Host," Now, before we get to our first scenario, there's one historical cheat code the source has mentioned that completely blew my mind. The P to H shift."
Expert," Ah, the 1,000-year-old cheat code. This is fascinating history that just so happens to double as a vocabulary hack."
Host," So explain the shift. What happened?"
Expert," Okay, so Kannada is a Dravidian language and it's related to Tamil, Telugu, Malayalam. About a thousand years ago, somewhere between the 10th and 14th centuries, a massive phonetic shift happened in the Kannada language."
Host," Okay."
Expert," Almost every single word that started with the letter P in Proto-Dravidian shifted to start with the letter H in Kannada."
Host," So if I know a little Tamil or even just some general South Indian root words, I can just swap the letter."
Expert," You can literally just swap the letter. Let's play a game. I'll give you the old or the Tamil root starting with P, you apply the shift and give me the modern Kannada word."
Host," All right, I'm ready. Let's do it."
Expert," The word for milk in Tamil, it is Paal."
Host," Okay, so P becomes H. Paal becomes Haalu."
Expert," Pronounced HAA-loo. Yes, perfect. Next one. The word for flower. You see this written everywhere in the south. Poo."
Host," Poo becomes Hoovu."
Expert," Pronounced HOO-voo. You got it. How about the word for 10? In Tamil, Pattu."
Host," Pattu becomes Hattu."
Expert," Pronounced HUT-too. And finally, the word for village. You see this in place names all over Tamil Nadu, like Tiruchirappalli. The root is Palli."
Host," Palli becomes Halli, as in Marathahalli."
Expert," Exactly. Marathahalli just means Maratha village. This rule is so consistent once you see it, you start seeing it everywhere. It's like a secret code."
Host," That is incredibly cool. It connects the deep history of the language directly to reading a map today."
Expert," It really does. Now, are you ready to put this engine to the test in a real world scenario?"
Host," I am so ready. Let's go back to Silk Board. Section 2. Scenario 1, the auto rickshaw."
Expert," All right. This first scenario is all about navigation and hierarchy. And the very first thing we have to fix is your social settings, your default mode."
Host," We need to talk about the you trap."
Expert," Yes. In English, you is just you. It's simple. I talk to my boss, I say you. I talk to my kid, I say you. I talk to my dog, I say you."
Host," One size fits all."
Expert," Kannada has a very strict hierarchy. There is Neenu and there is Neevu."
Host," And Neenu is the singular informal one."
Expert," Neenu is singular and informal. It is strictly for children, very, very close friends the same age or younger, or, this is important, God."
Host," Wait, God gets the informal treatment?"
Expert," It's seen as a sign of intimacy with the divine. It's a term of endearment almost. But, and this is a huge but, if you use Neenu with an auto driver,"
Host," Bad things are going to happen."
Expert," It is deeply offensive. It implies that you think they are beneath you. It sounds arrogant and dismissive. You must, must, must use Neevu."
Host," Pronounced NEE-voo."
Expert," Neevu. It's technically the plural you, but you use it for a single person as a sign of respect. It is your default for everyone you don't know intimately."
Host," Okay, default setting is now permanently switched to Neevu. Got it. Now, we need to give commands. The driver's waiting. I need him to stop. I need him to go."
Expert," Right. So if you look in a dictionary, you might see the root word Nillu for stop. Do not yell Nillu at the driver."
Host," Why not?"
Expert," It's like yelling halt at a servant. It's a bare command, it's very rude."
Host," So we need the respectful imperative form. How do we make it polite?"
Expert," We add a suffix. You either add -i or -isi. This little Lego brick transforms a rude command into a polite request."
Host," Okay."
Expert," Let's look at our vocabulary. The word for stop."
Host," Okay, I'm looking at the list. The polite form is Nillisi."
Expert," And that's pronounced NIL-lee-see."
Host," NIL-lee-see."
Expert," Say it with me. NIL-lee-see."
Host," NIL-lee-see. So I could say Saar, illi nillisi. Which would be Sir, stop here."
Expert," Perfect. Now go. The root is Hogu, but we don't say that. We add the -i, so it's Hogi. Pronounced HOH-gee."
Host," HOH-gee. That's right. And note the aspiration on that G isn't super heavy, but it is distinct. HOH-gee."
Expert," HOH-gee."
Host," And come. The root is Baa, but to the driver,"
Expert," We add the polite suffix."
Host," Right."
Expert," So it's Banni, pronounced BUN-nee."
Host," BUN-nee. So you see, you aren't barking orders, you are collaborating. Banni, Hogi, Nillisi, it's respectful. Okay, I'm in the auto, but now comes the big one. I need to know if he's actually going to use the meter. I don't want to get ripped off at the end of the ride. I need to ask a question."
Expert," Right. Which brings us to the magic question suffix."
Host," Okay."
Expert," This is my absolute favorite piece of efficiency in the Kannada language. English is so clumsy with questions. Is the meter there? Will you put the meter on? We're rearranging words, changing the tone. It's a lot of work."
Host," So what does Kannada do?"
Expert," It just stretches the tail. You simply add an -a sound to the end of the final word in the statement."
Host," That's it. You just elongate the vowel."
Expert," That's it. It's that simple. Let's look at the statement first. There is a meter. Meter is English. There is, is the word Ide."
Host," So meter Ide?"
Expert," Meter Ide. That's a statement of fact. Now, you want to ask, is there a meter? Or, more to the point, will you use the meter? You take Ide and you just stretch it. It becomes Ideya."
Host," Meter Ideya?"
Expert," Do you hear how your pitch goes up at the end?"
Host," Ideya."
Expert," Ideya. Yeah, it feels natural."
Host," Perfect. It works for everything."
Expert," Will you come? That's Bartira. Is it correct? That's Sariya."
Host," Is it correct? Wait, Sariya. I hear that all the time in the office."
Expert," It is the most common phrase in corporate Bengaluru. Is this data Sariya? You are applying the Kannada engine to English words. You've been hearing it all along."
Host," Mind-blown. Okay. So I get in, I point at the meter and I ask meter Ideya. He nods. We're moving. But now, oh no, he's about to miss the turn."
Expert," We need spatial anchors. The source calls this the GPS rhyme."
Host," I like that."
Expert," It's a simple rhyme, which makes it stick in your brain. Here, there, where. Illi, Alli, Elli."
Host," Okay, let's drill the pronunciation on those. Here."
Expert," Illi, pronounced ILL-lee."
Host," ILL-lee. There."
Expert," Alli, pronounced ULL-lee."
Host," ULL-lee. And where?"
Expert," Elli, pronounced YELL-lee."
Host," YELL-lee. And I'm noting that Y sound at the beginning of Elli. It's not Elli, it's Yelli."
Expert," Exactly. The Y glide is crucial."
Host," So if I want to say stop here,"
Expert," Illi Nillisi."
Host," If I want to say go there,"
Expert," Alli Hogi."
Host," And if I'm totally lost and panicking, where is Indiranagar?"
Expert," Indiranagar Elli. Or more politely, Indiranagar Elli Ide?"
Host," Simple. Okay, now left, right, straight. This is where I always, always get confused."
Expert," Let's anchor it. Straight is Nēra, pronounced NAY-rah. Just think of a narrow path, Nēra."
Host," Nēra Hogi, go straight. I can remember that."
Expert," Now, left and right. They both end in this word -gade, which just means side."
Host," Okay."
Expert," Left is Edagade. Pronounced ay-duh-GAH-dey."
Host," Ay-duh-GAH-dey."
Expert," Right is Balagade, pronounced buh-luh-GAH-dey."
Host," Ay-duh-GAH-dey. Buh-luh-GAH-dey. I know I'm going to mix these up. Do you have a trick for those?"
Expert," I do. I think of Bala as ball. Most people are right-handed and you throw a ball with your right hand. So Balagade is the ball side, the right side."
Host," That is actually really helpful. Balagade, ball side, right side. Okay, I think I can hold on to that."
Expert," Let's run it."
Host," Let's run the full simulation. I see the auto, I wave, flag him down, he pulls over."
Expert," What do you say?"
Host," I say, Indiranagar? with that question tone. He nods."
Expert," Good, he stops."
Host," I get to the window, look at the meter, meter Ideya?"
Expert," He grunts yes. You get in."
Host," He starts driving, I say, Nēra Hogi, go straight. Then I see my turn coming up. Balagade Hogi, go right."
Expert," Okay."
Host," Then I see my office building. Illi Nillisi, stop here."
Expert," And you just successfully"
