Speaker,Transcript
Host," Nanage Gothu. Again, to me, there is knowledge."
Expert," And I don't know is Nanage Gothilla, pronounced goh-TILL-lah."
Host," Gothilla. I feel like that is the single most useful phrase for any beginner. Do you know the way to MG Road? Gothilla. Do you know why the traffic has stopped for an hour? Gothilla."
Expert," Use it freely. It's much better to admit ignorance than to guess and get someone even more lost."
Host," Okay, now let's talk about actions happening right now. The tense engine, the notes call it. I am coming, I am going."
Expert," Right. This is the present continuous tense. The key mechanic here is an infix, a little piece that goes in the middle of a word. It's the sound -th-."
Host," Okay."
Expert," Let's take the verb to come, which is Baru. To say I am coming, you take the root Baru, you add that -th- infix, and then you add the suffix for I, which is -ini."
Host," So, Baru plus -th- plus -ini becomes Barthini."
Expert," Barthini. Pronounced bar-TEE-nee. I'm coming."
Host," And to go is Hogu, so that would be Hogthini, pronounced HOG-tee-nee."
Expert," HOG-tee-nee. I am going."
Host," I notice we aren't saying the word for I, which is Naanu."
Expert," We don't need to. The suffix -ini already tells us the subject is I. This is called pro-drop. You just drop the pronoun. It's faster, it's more natural."
Host," So, my friend calls and asks, where are you? And I can just say, oh, Barthini, Barthini."
Expert," Exactly. That's the classic I'm 5 minutes away lie. Barthini."
Host," Finally, we can't be in Bengaluru without talking about Kanglish and the street slang. This is the flavor text from our notes."
Expert," This is the real flavor text. The Maadi hack is the ultimate survival tool. Maadi just means do."
Host," Right."
Expert," You can attach it to almost any English verb to create a Kanglish verb."
Host," So, call Maadi. Check Maadi."
Expert," Adjust Maadi. Swalpa adjust Maadi. Please adjust a little. This is the official motto of the city."
Host," I believe it."
Expert," You're on a crowded bus. There's no seat. You look at someone and say, Swalpa adjust Maadi, and they'll squish over."
Host," Okay, what about how we address people? I hear the word Guru all the time."
Expert," Guru, pronounced GOO-roo. Literally, it means teacher or master, but in slang, it means boss, chief, buddy. It is the perfect all-purpose word for a male stranger. It's safe, respectful, but also cool."
Host," So, I can say to the auto driver, Guru, meter haaki."
Expert," Perfect. That's exactly how you'd use it."
Host," And what about the word Maga?"
Expert," Maga, pronounced MUH-gah. Literally, it means son. This is strictly for close friends. Do not call your auto driver Maga."
Host," Why not? Is it offensive?"
Expert," Just too intimate. It's like calling a taxi driver in New York sweetheart or my baby. It's just weird. It crosses a line. Stick to Guru."
Host," Got it. Guru for strangers, Maga for friends. And finally superlatives. How do I say something is really really awesome? The coffee is good."
Expert," Your standard everyday good is Chennagide, pronounced chen-nah-GEE-dey. It means it is good."
Host," Chennagide."
Expert," But if it's amazing, if it's fantastic, you say Bombaat, pronounced bom-BAAT."
Host," Bombaat. I like that."
Expert," And the source mentions one more, which is more slangy, Chindi."
Host," Chindi. Pronounced CHIN-dee."
Expert," Right. Literally, Chindi means shredded or torn, like shredded paper. But in slang, it means you crushed it, you tore it up. It was amazing."
Host," So, I can say coffee Chindi aagide."
Expert," Yes."
Host," Ah."
Expert," The coffee is shredding. It's amazing."
Host," Chindi. I love that. Okay, we have covered a massive amount of ground. We've built the engine. We've learned the navigation commands, the transaction numbers, and the friendship slang. But before we wrap up, I want to briefly revisit sandhi because we kind of did it naturally, but I want to make sure I understand the actual rule."
Expert," Let's revisit that."
Host," Why is it Maneyalli and not Mane-alli?"
Expert," It's all about flow. Try saying Mane-alli. Mane-alli. Do you feel that little stop in your throat between the two vowels, that little hiccup?"
Host," Yeah, there's a definite catch, a glottal stop."
Expert," Languages hate hiccups. They want to be smooth. They want to flow. So, to prevent that hiccup, Kannada inserts a glide sound between the vowels."
Host," A glide."
Expert," Because Mane ends in an E sound, which is a front vowel, it inserts a Y glide. So, Mane plus -alli. It becomes Maneyalli. It just slides together beautifully."
Host," Ah. Okay, and what if the word ended in a U sound, like Guru? If I wanted to say in the Guru, Guru plus -alli."
Expert," So, Guru ends in a back vowel, a U. So, it doesn't use a Y glide, it uses a V glide. It would be Guru plus V plus -alli, Guruvalli."
Host," Wow. That explains so much. It's aerodynamic. The language wants to move fast without any friction."
Expert," That's a perfect way to put it. It's aerodynamic."
Host," Okay, let's do one last quick pronunciation check on those tricky pairs from the AI doc, just to lock it in. Listen versus tell."
Expert," This is a critical one. Listen or ask is Keli, pronounced KAY-lee. Tell is Heli, pronounced HAY-lee."
Host," HAY-lee."
Expert," Do not mix these up. If you say Heli when you mean Keli, the entire conversation just breaks down."
Host," And the subtle difference between a statement and a question on our favorite word, Bēku."
Expert," Statement. Nanage coffee Bēku, pronounced BAY-koo. I want coffee."
Host," Bēku."
Expert," Question. Nanage coffee Bēka? Pronounced BAY-kah. Do you want coffee?"
Host," Bēka."
Expert," So, that final vowel change, -oo versus -ah, that's the whole difference."
Host," We are reaching the end of our deep dive. Let's head to the outro and get the algorithm recap."
Expert," If you take only one thing away from this entire deep dive, let it be this simple algorithm. Stop trying to memorize the dictionary. It won't work."
Host," Okay."
Expert," Step one, identify your root word. And remember, English is fine. Office. Meeting."
Host," Step two."
Expert," Step two. Identify the relationship you need. Into, from, for."
Host," And step three."
Expert," Step three. Glue the correct Kannada suffix onto your root word."
Host," Office-nalli. Driver, Nanage coffee Bēku."
Expert," You are building, not just reciting. You are running the engine."
Host," That is the shift. From thinking of it as art to thinking of it as logistics. It makes it so much more achievable. Now, for the cultural closing. The source gave us a truly beautiful and important phrase to end with. Never say I go."
Expert," Never. If you are leaving a friend's house or getting off the phone and you just say Hogthini, I am going,"
Host," It's jarring."
Expert," It's jarring. It implies you are leaving forever. It has connotations of death. It's considered very inauspicious."
Host," So, what do I say instead?"
Expert," You must complete the circle. You have to promise your return. So, you say Hogi barthini, pronounced HOH-gee bar-TEE-nee."
Host," And the meaning is?"
Expert," Having gone, I will come back. It acknowledges the departure, but it immediately promises the return. It keeps the connection, the relationship alive and unbroken."
Host," Hogi barthini. That's actually poetry. We found the poetry inside the logistics after all."
Expert," You did. It was there all along."
Host," All right, here is your final call to action. We're calling it the imperative challenge. The next time you are in an auto or an Uber or even just in a shop in Bengaluru, do not use English for the basic directional commands."
Expert," Just try one."
Host," Just one. Don't say go straight. I want you to take a deep breath, curl your tongue back for that retroflex sound if you need to, and say Nēra Hogi. Just that one phrase."
Expert," Even if you panic right after that and switch back to English for everything else, that one phrase completely changes the dynamic. You aren't just a tourist or a passenger anymore. You are a navigator. You're participating."
Host," Thank you so much for joining us on this deep dive into the morphosyntactic engine. And to our expert, thank you for guiding us through it."
Expert," It was my pleasure. Hogi barthini."
Host," Hogi barthini. We'll see you next time."
